English Term;Turkish Term
Deception signal;Aldatma sinyali
Deceptive;Aldatıcı
Deceptive agent;Aldatıcı etmen
Deceptive identity;Aldatıcı kimlik
Decertification;Sertika iptali
Decipher;Şifre çözmek
Declassification;Gizliliğin kaldırılması
Decode;Kod çözmek
Decrypt;Şifre çözmek
Decrypt y with the key keyx;Keyx anahtarıyla y'nin şifresini çözme
Decryption key;Şifre çözme anahtarı
Decryption;Şifre çözme Decryption-verification Şifre çözme-doğrulama
Dedicated line;Adanmış hat
Dedicated network;Adanmış ağ
Dedicated proxy server;Adanmış vekil sunucusu
Deep neural network;Derin sinirsel ağ
Deep packet inspection firewall;Ayrıntılı paket denetimli güvenlik duvarı
Deep web;Giriş korumalı bilgiağı
Deepfake;Derinsahte
Deepfaking;Derinsahtekarlık
Defacement;Bozma
Default classification;Varsayılan sınıflandırma
Defect;Eksiklik
Defect check;Eksiklik kontrolü
Defect type;Eksiklik türü
Defense advanced research project agency;Savunma ileri araştırma projesi ajansı
Defense clearance and investigation index ;Savunma izni ve soruşturma dizini
Defense courier service;Savunma kurye hizmeti
Defense cyber crime center;Savunma siber suç merkezi
Defense data network;Savunma veri ağı
Defense discovery metadata standard;Savunma keşif üstverisi standardı
Defense federal acquisition regulations supplement;Savunma federal satın alma düzenlemeleri eki
Defense in breadth;Kapsamlı savunma
Defense in depth;Derinlemesine savunma
Defense industrial base;Savunma sanayi üssü
Defense industrial base collaborative information sharing environment ;Savunma sanayi üssü iş birliğine dayalı bilgi paylaşım ortamı
Defense industrial base cybersecurity sharing;Savunma sanayi üssü siber güvenlik paylaşımı
Defense information system network;Savunma bilgi sistemi ağı
Defense information systems agency;Savunma bilgi sistemleri ajansı
Defense mechanism;Savunma düzeneği
Defense science board;Savunma bilim kurulu
Defensive cyberspace operation response action ;Savunma siber uzay işletimi müdahale eylemi
Defensive cyberspace operations;Savunma siber uzay işletimleri
Defensive design;Savunma tasarımı
Degausser;Manyetik silici
Degaussing;Manyetik silme
Degradation;İndirgeme
Degraded cybersecurity state;İndirgenmiş siber güvenlik durumu
Deidentification;Kimlik gizleme
Deidentified information;Kimliksiz bilgi
Delay (path delay) ;Gecikme (yol gecikmesi)
Delegation point;Yetkilendirme noktası
Delegation signer;İmza yetkilisi
Deleted file;Silinmiş dosya
Delivery only client;Yalnızca istemci dağıtımı
Delivery status notification;Dağıtım durum bildirimi
Demilitarization;Askersizleştirme
Demilitarize;Askersizleştirme
Demilitarized zone;Savunmasız bölge
Denial of authorization to operate;İşletim yetkisinin reddedilmesi
Denial of service;Hizmet reddi
Denial of service attack;Hizmet engelleme saldırısı
Deny by default;Varsayılan olarak reddet
Denylist;Reddetme listesi
Department of defense;Savunma bakanlığı
Department of defense directive;Savunma bakanlığı yönergesi
Department of defense information network operations ;Savunma bakanlığı bilgi ağı işlemleri
Department of defense information networks ;Savunma bakanlığı bilgi ağları
Department of defense instruction;Savunma bakanlığı eğitimi
Department of defense manual;Savunma bakanlığı el kitabı
Deprecated;Kullanımdan kaldırıldı
Deprecated identifier name;Kullanımdan kaldırılan tanımlayıcı adı
Depth;Derinlik
Deregistration (of a key);Kaydı silme (bir anahtarın)
Derived credential;Türetilmiş kimlik bilgisi
Derived keying material;Türetilmiş anahtarlama malzemesi
Derived personal identity verification;Türetilmiş kişisel kimlik doğrulaması
Derived personal identity verification credential;Türetilmiş kişisel kimlik doğrulama kimlik bilgisi
Derived relationship mapping;Türetilmiş ilişki haritalaması
Derived requirements;Türetilmiş gereksinimler
Derived test requirement;Türetilmiş sınama gereksinimi
Descriptive label;Açıklayıcı etiket
Design;Tasarım
Design principle;Tasarım ilkesi
Design trade off analysis;Tasarım takas analizi
Designated accrediting authority;Atanmış yetkilendirme kurumu
Designated cipher function;Belirlenmiş şifreleme işlevi
Designed in security;Güvenlikle tasarlanmış
Designing for cyber resiliency and survivability ;Siber dayanıklılık ve hayatta kalma için tasarım
Desired state;İstenen durum
Desired state specification;İstenen durum belirtimi
Destination address;Varış noktası
Destination based remotely triggered black- holing ;Hedefe dayalı uzaktan tetiklenen kara delik
Destination network address translation ;Hedef ağ adres çevirisi
Destroy;Yıkmak
Destroyed state;Yıkılmış durum
Destruction;Yıkım
Detailed assessment;Ayrıntılı değerlendirme
Detect;Tespit etmek
Detect anomalies and events ;Algılama  aykırılılıklar ve olaylar
Detection and response;Algılama ve müdahale
Detection error tradeoff;Algılama hatası dengelemesi
Deterministic algorithm;Gerekirci çözümyolu
Deterministic random bit generator;Gerekirci rastgele bit üreteci
Deterrence;Caydırıcılık
Devastating cyber event;Yıkıcı siber olay
Developer;Geliştirici
Developers’ alliance for standards harmonization ;Standartların uyumlaştırılması için geliştiriciler birliği
Developing the curriculum;Öğretim programı geliştirme
Development and operations;Geliştirme ve operasyonlar
Development kit;Geliştirme takımı
Development life cycle;Geliştirme yaşam döngüsü
Development operations;Geliştirme operasyonları 
Development modernization and or enhancement;Geliştirme yenileştirme ve veya iyileştirme
Development security and operations ;Geliştirme güvenlik ve operasyonlar
Device;Aygıt /cihaz
Device access control software;Aygıt erişim kontrol yazılımı
Device cybersecurity capability;Cihaz siber güvenlik yeteneği
Device cybersecurity capability core baseline;Temel cihaz siber güvenlik yeteneği
Device distribution profile;Cihaz dağıtım profili
Device identifier;Aygıt tanımlayıcısı
Device registration manager;Aygıt kayıt yöneticisi
Device role;Aygıt görevi
Device to device;Aygıttan aygıta
Diagnostics;Tanı / teşhis
Dial in system access;Çevirmeli sistem erişimi
Dialer;Çevirici
Diameter;Çap /en
Dictionary;Sözlük
Dictionary attack;Sözlük saldırısı
Dictionary contributor;Sözlüğe katkıda bulunan
Dictionary creator;Sözlük oluşturucu / sözlük yaratıcısı
Dictionary maintainer;Sözlük sorumlusu
Dictionary management documents;Sözlük yönetim belgeleri
Dictionary search;Sözlük arama
Dictionary user;Sözlük kullanıcısı
Differential quaternary phase shift keying;Ayrımsal dördüncül evre kaydırmalı anahtarlama
Differentiated services code point ;Farklılaştırılmış hizmetler kod noktası
Diffie Hellman algorithm;Diffie hellman algoritması
Diffie Hellman group;Diffie hellman grup
Diffie Hellman key;Diffie hellman anahtarı
Diffie Hellman key exchange;Diffie hellman anahtarı değişimi
Digest;Sindirmek
Digest authentication;Özet kimlik doğrulaması
Digital;Sayısal
Digital asset;Sayısal varlık
Digital authentication;Sayısal kimlik doğrulama
Digital certificate;Sayısal sertifika
Digital encryption standard;Sayısal şifreleme standardı
Digital envelope;Sayısal zarf
Digital evidence;Sayısal kanıt
Digital fingerprint;Sayısal parmak izi
Digital forensics;Adli bilişim
Digital forgery;Sayısal sahtecilik
Digital identity;Sayısal kimlik
Digital imaging and communications in medicine ;Tıpta sayısal görüntüleme ve iletişim
Digital network intelligence;Sayısal ağ casusluğu
Digital policy;Sayısal politika
Digital policy management;Sayısal politika yönetimi
Digital preservation;Sayısal koruma
Digital rights management;Sayısal hakların yönetimi
Digital signal processor;Sayısal sinyal işlemcisi
Digital signature;Sayısal imza
Digital signature algorithm;Sayısal imza algoritması
Digital signature standard;Sayısal imza standardı
Digital subscriber line;Sayısal sürdürümcü hattı
Digital to analog converter;Sayısaldan analoga dönüştürücü
Digital transformation;Sayısal dönüşüm
Digital versatile disc;Sayısal çok yönlü disk Digital versatile disc- recordable Yazılabilir sayısal çok yönlü disk
Digitization;Sayısallaştırma
Diode;Diyot
Direct digital manufacturing;Doğrudan sayısal üretim
Direct identifying data;Doğrudan tanımlayıcı veri
Direct memory access;Doğrudan bellek erişimi
Direct random string;Doğrudan rastgele dizgi
Directed acyclic graph;Yönlendirilmiş döngüsüz grafik
Directly attached storage;Doğrudan bağlı depolama
Directly identifying variables;Değişkenleri doğrudan tanımlama
Director central intelligence directive;Yönetici merkezi istihbarat yönergesi
Director of national intelligence;Milli istihbarat yöneticisi
Directory;Dizin
Directory service;Dizin hizmeti
Directory services protector;Dizin hizmetleri koruyucusu
Directory services restore mode;Dizin hizmetleri geri yükleme modu
Dirty data;Bozuk veri
Dirty word list;Bozuk sözcük listesi
Disallowed;İzin verilmeyen
Disassembly;Sökülme
Disassociability;Ayrılabilirlik
Disaster;Felaket / yıkım
Disaster recovery;Yıkım onarım
Disaster recovery plan;Yıkım onarım planı
Disclosure;İfşa / açığa çıkarma
Disclosure of information;Bilgilerin ifşası
Disconnection;Bağlantı kopması
Discovery;Keşif
Discovery metadata standard;Keşif üztverisi standardı
Discovery service;Keşif hizmeti
Discrete Fourier transform test;Ayrık fourier dönüşüm testi
Discrete logarithm cryptography;Ayrık logaritma kriptografisi
Discrete process;Ayrık süreç
Discretionary access control;İsteğe bağlı erişim denetimi
Discretionary access control list;İsteğe bağlı erişim denetim listesi
Discussion;Tartışma
Disinfect;Virüsten arındırma
Disinfecting;Virüsten arındırmak
Disinformation;Yanıltıcı bilgi
Disintegration;Parçalanma
Disk image;Disk görüntüsü
Disk imaging;Disk görüntüleme
Disk to disk copy;Diskten diske kopyalama
Disk to file copy;Diskten dosyaya kopyalama
Disposal;İmha etmek / atık
Disruption;Bozulma
Distance vector;Uzaklık vektörü
Distinguishable information;Seçkin bilgi
Distinguished encoding rules;Seçkin kodlama kuralları
Distinguished name;Ayırt edici adı
Distinguishing identifier;Ayırt edici tanımlayıcı
Distributed component object model ;Dağıtılmış bileşen nesne modeli
Distributed computing environment;Dağıtımlı bilişim ortamı
Distributed control system;Dağıtımlı denetim ortamı
Distributed denial of service;Dağıtımlı hizmet engelleme
Distributed denial of service attack ;Dağıtımlı hizmet engelleme saldırısı
Distributed energy resource;Dağıtımlı enerji kaynağı
Distributed energy technology laboratory;Dağıtımlı enerji teknolojisi laboratuvarı
Distributed ledger technology;Dağıtımlı defter teknolojisi
Distributed network;Dağıtımlı ağ
Distributed network protocol;Dağıtımlı ağ protokolu
Distributed scans;Dağıtımlı taramalar
Distributed self assessment;Dağıtılmlı öz değerlendirme
Distribution system;Dağıtım sistemi
Disturbance;Rahatsızlık
Diversifier;Çeşitlendirici
Diversifier hiding key;Çeşitlendirici gizleme anahtarı
Diversionary;Saptırma
Dns administrator;Alan adı sistem yöneticisi
Dns based authentication of named entities;Adlandırılmış varlıkların alan adı sistemi tabanlı kimlik doğrulaması
Dns cache poisoning;Alan adı sistemi önbellek zehirlenmesi
Dns exfiltration;Alan adı sistem sızıntısı
Dns full zone transfer query type;Alan adı sistemi tam bölge aktarımı sorgu türü
Dns hijacking;Alan adı sistemi ele geçirme
Dns security extensions;Alan adı sistemi güvenlik uzantıları Dnssec (domain name system security extensions) Alan adı sistemi güvenlik eklentileri
Dnssec aware name server;Alan adı sistemi güvenlik eklentileriyle uyumlu ad sunucusu
Dnssec aware recursive name server ;Alan adı sistemi güvenlik eklentileriyle uyumlu özyinelemeli ad sunucusu
Dnssec aware resolver;Alan adı sistemi güvenlik eklentileriyle uyumlu çözümleyici
Document type definition;Belge türü tanımı
Domain;Alan
Domain authority;Etki alanı yetkilisi
Domain based message authentication reporting & conformance ;Etki alan tabanlı ileti kimlik doğrulaması raporlama ve uygunluk
Domain controller;Etki alanı denetleyicisi
Domain generation algorithm;Alan oluşturma çözümyolu
Domain hijacking;Etki alanı çalma
Domain keys identified mail;Etki alan anahtarları tanımlı e-posta
Domain name;Alan adı
Domain name attack;Alan adı saldırısı
Domain name hijacking;Alan adı ele geçirme
Domain name server;Alan adı sunucusu
Domain name system;Alan adı sistemi
Domain name system blacklist;Alan adı sistemi kara listesi
Domain name system security extensions;Alan adı sistemi güvenlik uzantıları
Domain name system service discovery ;Alan adı sistemi hizmet keşfi
Domain name systems exfiltration;Alan adı sistemi sızıntısı
Domain parameter;Etki alanı parametresi
Domain separation;Etki alanı ayrışması
Domain services;Etki alanı hizmetleri
Domain shadowing;Etki alanı gölgeleme
Domainkeys identified;mail Alan anahtarları tanımlı posta
Dormant code;Hareketsiz kod
Double spend (attack) ;Çift harcama (saldırı)
Double spend (problem);Çift harcama (sorun)
Downgrading;Sürüm düşürme
Download;İndirme
Doxing;İnternette belgeleme
Dridex;Bankacılık sahtekarlığı
Drive by attack;İndirme saldırıları
Drive by download;Doğrudan indirme
Drive by download;Doğrudan indirme
Drive by download attack;İndirerek yürüt saldırıları
Driver execution environment;Sürücü yürütme ortamı
Dual authorization;İkili yetkilendirme
Dual control;Çift kontrol
Dual stack network device;Çift yığın ağ aygıtı
Dual tone multi frequency;Çift tonlu çoklu frekans
Dual use certificate;Çift kullanım sertifikası
Due diligence;Durum saptama
Dumpster diving;Çöplük dalışı
Duplicate digital evidence;Yinelenen sayısal kanıt
Duplicate disk;Yinelenen disk
Duplicate disk/data dump;Yinelenen disk / veri dökümü
Duration;Süre
Duty cycle;Görev döngüsü
Dynamic access control list;Devingen erişim kontrol listesi
Dynamic analysis;Devingen çözümleme
Dynamic application security testing;Devingen uygulama güvenlik testi
Dynamic attack surface;Devingen saldırı yüzeyi
Dynamic code analyzer;Devingen kod çözümleyicisi
Dynamic domain name system;Devingen alan adı sistemi
Dynamic frequency selection;Devingen frekans seçimi
Dynamic host configuration protocol;Devingen anabilgisayar yapılandırma kuralı
Dynamic host control protocol;Devingen anabilgisayar kontrol kuralı
Dynamic link library;Devingen bağlantı kitaplığı
Dynamic port;Devingen bağlantı noktası
Dynamic routing protocol;Devingen yönlendirme kuralı
Dynamic subsystem;Devingen alt sistem
Dynamically linked library;Devingen bağlantılı kitaplık ( E )
Eactivism;Siber eylemcilik
Eap (extensible authentication protocol) flexible authentication via secure tunneling ;Genişletilebilir kimlik doğrulama kuralı güvenli tünelleme yoluyla esnek kimlik doğrulama
Earned value management;Kazanılmış değer yönetimi
Earned value management system;Kazanılmış değer yönetim sistemi
Ease of use;Kullanım kolaylığı
Easter egg;Gizlenmiş e-özellik
Eauthentication;E-kimlik doğrulama
Eauthentication assurance level;Ekimlik doğrulama güvence düzeyi
Eavesdropper;Gizlice dinleyen kimse
Eavesdropping;Gizlice dinleme
Eavesdropping attack;Gizlice dinleme saldırısı E-business E-iş
Echo reply;Yankı yanıtı
Echo request;Yankı isteği E-commerce E-ticaret
Edge computing;Uç bilişim
Edge layer;Uç katman
Edge testing;Uç testi
Education and training;Eğitim ve öğretim
Edwards curve digital signature algorithm ;Edwards eğrisi sayısal imza algoritması
Effective isotropic radiated power ;Etkin izotropik yayılan güç
Effective period;Geçerlilik süresi
Effectiveness;Etkinlik
Efficiency;Verimlilik
E-government;E-devlet
Egress filtering;Çıkış filitreleme
Elastic compute cloud;Esnek bilişim bulutu
Electrically erasable programmable read only memory;Elektriksel olarak silinebilir programlanabilir salt okunur bellek
Electricity information sharing and analysis center;Elektrik bilgi paylaşım ve analiz merkezi
Electromagnetic compatibility;Elektromanyetik uyumluluk
Electromagnetic environmental effects;Elektromanyetik çevresel etkiler
Electromagnetic;interference Elektromanyetik karışma
Electromagnetic pulse;Elektromanyetik vuru
Electronic access control and monitoring system;Elektronik geçiş kontrol ve izleme sistemi
Electronic authentication;Elektronik kimlik doğrulama
Electronic biometric transmission specification;Elektronik biyometrik iletim şartnamesi
Electronic business;Elektronik iş
Electronic commerce;Elektronik ticaret
Electronic counter countermeasures;Elektronik karşı önlemler
Electronic credentials;Elektronik kimlik bilgileri
Electronic data interchange;Elektronik veri değişimi
Electronic evidence;Elektronik kanıt
Electronic key entry;Elektronik anahtar girişi
Electronic key management system;Elektronik anahtar yönetim sistemi
Electronic mail;Elektronik posta
Electronic media;Elektronik ortam
Electronic messaging services;Elektronik mesajlaşma hizmetleri
Electronic signature;Elektronik imza
Electronic/digital file transfer;Elektronik/sayısal dosya aktarımı
Electronically erasable programmable read only memory;Elektriksel olarak silinebilir programlanabilir salt okunur bellek
Electronically generated key;Elektronik olarak oluşturulan anahtar
Electrotechnical commission;Elektroteknik kurulu
Element;Öğe
Elliptic curve;Eliptik eğri
Elliptic curve cryptography;Eliptik eğri kriptografi
Elliptic curve Diffie Hellman;Eliptik eğri diffie hellman
Elliptic curve digital signature algorithm;Eliptik eğri sayısal imza algoritması
Email malware distribution;E-posta kötücül yazılım dağıtımı
Email tyranny;Sayısal sağanak
Emanation security;Yayılma güvenliği
Emanations analysis;Yayılım analizi
Embedded computer;Gömülü bilgisayar
Embedded control unit;Gömülü denetim birim
Embedded cryptographic system;Gömülü kriptografik sistem
Embedded cryptography;Gömülü şifreleme
Embedded universal integrated circuit card ;Gömülü evrensel tümleşik devre kartı
Emergency action plan;Acil eylem planı
Emergency management system;Acil durum yönetim sistemi
Emergency repair disk;Acil onarım diski
Emergency response team;Acil müdahale ekibi
Emergency revocation;Acil durum iptali
Enabling system;Etkinleştiren sistem
Encapsulating security payload;Sarmalanan güvenlik yükü
Encapsulating security payload protocol ;Sarmalanan güvenlik yükü kuralı
Encapsulating security payload without encryption;Güvenlik yükünü şifreleme olmadan sarmalama
Encapsulation;Sarmalama
Encapsulation security payload;Sarmalama güvenlik yükü
Encipher;Şifrelemek
Enclave;Yerleşim bölgesi
Enclave boundary;Yerleşim bölgesi sınırı
Enclave page cache;Yerleşim bölgesi sayfası önbelleği
Encode;Şifreleme
Encoded message;Şifrelenmiş ileti
Encrypt;Şifreleme
Encrypted data;Şifrelenmiş veri
Encrypted diversifier;Şifreli çeşitlendirici
Encrypted file system;Şifreli dosya sistemi
Encrypted key;Şifreli anahtar
Encrypted network;Şifreli ağ
Encryption;Şifreleme
Encryption algorithm;Şifreleme algoritması
Encryption certificate;Şifreleme sertifikası
Encryption control protocol;Şifreleme kontrol protokolü
Encryption data;Şifreleme verisi
Encryption error;Şifreleme hatası
Encryption key;Şifreleme anahtarı
Encryption root;Şifreleme kökü
Encryption software;Şifreleme yazılımı
End cryptographic unit;Uç şifreleme birimi
End end encryption;Uç şifrelemeyi sonlandır
End entity;Uç varlık
End item;Son öğe
End of file;Dosyanın sonu
End to end encryption;Uçtan uca şifreleme
End to end security;Uçtan uca güvenlik
End user license agreement;Son kullanıcı yetkilendirme anlaşması
Endpoint detection and response;Uç nokta algılama ve müdahale
Endpoint protection;Uç nokta koruması
Endpoint protection platform;Uç nokta koruma ortamı
Energy independence and security act ;Enerji bağımsızlığı ve güvenliği yasası
Energy management system;Enerji yönetim sistemi
Energy sector asset management;Enerji sektörü varlık yönetimi
Energy storage system;Enerji depolama sistemi
Engineering laboratory;Mühendislik laboratuvarı
Engineering team;Mühendislik takımı
Enhanced data for gsm (global system for mobile communication) evolution ;Taşınır iletişim için küresel sistem evrimi için gelişmiş veriler
Enhanced data rate;Gelişmiş veri hızı
Enhanced data rates for gsm evolution ;Taşınır iletişim için küresel sistem evrimi için gelişmiş veri hızları
Enhanced feasible path unicast reverse path forwarding;Geliştirilmiş uygulanabilir tek noktaya ters yol yönlendirme
Enhanced messaging service;Gelişmiş mesajlaşma hizmeti
Enhanced mitigation experience toolkit;Gelişmiş azaltma deneyimi araç takımı
Enhanced overlay;Gelişmiş bindirme
Enhanced reliability check;Gelişmiş güvenilirlik kontrolü
Enhanced security;Gelişmiş güvenlik
Enhanced security requirements;Gelişmiş güvenlik gereksinimleri
Enhanced shared situational awareness;Gelişmiş paylaşılan durumsal farkındalık
Enhanced synchronous connection oriented ;Bağlantı odaklı geliştirilmiş eşzamanlama
Enrollment;Kayıt
Enrollment data set;Kayıt veri kümesi
Enrollment manager;Kayıt yöneticisi
Enterprise;Kurumsal
Enterprise architecture;Kurumsal mimari
Enterprise compliance profile;Kurumsal uyumluluk profili
Enterprise cross domain services;Kurumsal alanlar arası hizmetler
Enterprise cross domain services provider ;Kurumsal alanlar arası hizmetleri sağlayıcı
Enterprise hosted cross domain solutions ;Kurumsal olarak barındırılan alanlar arası çözümler
Enterprise information environment mission area ;Kurumsal bilgi ortamı görev alanı
Enterprise information security architecture ;Kurumsal bilgi güvenliği mimarisi
Enterprise level security;Kurumsal düzeyde güvenlik
Enterprise level security metrics;Kurumsal düzeyde güvenlik ölçümleri
Enterprise mission assurance support service;Kurumsal görev güvencesi destek hizmeti
Enterprise mobility evaluation program;Kurumsal hareketlilik değerlendirme programı
Enterprise mobility management;Kurumsal hareketlilik yönetimi
Enterprise privacy authorization language;Kurumsal gizlilik yetkilendirme dili
Enterprise risk;Kurumsal risk
Enterprise risk management;Kurumsal risk yönetimi
Enterprise risk profile;Kurumsal risk profili
Enterprise risk register;Kurumsal risk kaydı
Enterprise risk steering committee;Kurumsal risk yönlendirme komitesi
Enterprise security manager;Kurumsal güvenlik yöneticisi
Enterprise service;Kurumsal hizmet
Enterprise subsystem;Kurumsal alt sistem
Entity;Varlık
Entity identification;Varlık kimliği tanımlaması
Entity identity;Varlık kimliği
Entity registration;Varlık kaydı
Entrapment;Tuzak
Entropy;Düzensizlik
Entropy rate;Düzensizlik oranı
Entropy source;Düzensizlik kaynağı
Entry date;Giriş tarihi
Environment;Çevre / ortam
Environment of operation;Çalışma ortamı
Environmental failure protection;Çevresel arıza koruması
Environmental failure testing;Çevresel arıza testi
Environmental protection agency;Çevreyi koruma ajansı
Environmental support;Çevre desteği
Environmental testing;Çevresel testler
Ephemeral Diffie Hellman key exchange ;Geçici diffie hellman anahtar değişimi
Ephemeral key;Geçici anahtar
Ephemeral key pair;Geçici anahtar çifti
Ephemeral port;Geçici bağlantı noktası
Equipment;Donatı
Equipment identity register;Donatı kimlik kaydı
Equivalent process;Eşdeğer süreç
Equivalent security domain;Eşdeğer güvenlik alanı
Eradication;Yok etme
Erasable programmable read only memory;Silinebilir programlanabilir salt okunur bellek
Error detection code;Hata algılama kodu
Escape;Kaçmak
Escort;Kollamak
Escrow passwords;Emanet şifreleri
Estimate;Tahmin etmek
Estimator;Tahmin edici
Ethernet;Eternet
Ethernet virtual private network;Eternet sanal özel ağ
European article number;Avrupa makale numarası
European computer manufacturers association;Avrupa bilgisayar üreticileri birliği
European electronic messaging association;Avrupa elektronik mesajlaşma derneği
European institute for computer antivirus research ;Avrupa bilgisayar virüs koruma araştırma enstitüsü
European telecommunication standardisation institute;Avrupa telekomünikasyon standardizasyon enstitüsü
European union agency for cybersecurity ;Avrupa birliği siber güvenlik ajansı
Evaluate;Değerlendirmek
Evaluated products list;Değerlendirilen ürünler listesi
Evaluating authority;Değerlendirme yetkisi
Evaluation assurance level;Değerlendirme güvence düzeyi
Evaluation criteria;Değerlendirme kriteri
Event;Olay
Event aggregation;Olay toplama
Event correlation;Olay ilintilendirme
Event filtering;Olay filtreleme
Event processing point;Olay işleme noktası
Event reduction;Olay azaltma
Event tree analysis;Olay ağacı analizi
Events per second;Saniyedeki olaylar
Evidence;Kanıt
Evolved packet core;Gelişmiş paket çekirdeği
Evolved packet system;Gelişmiş paket sistemi
Evolved universal ;Gelişmiş evrensel karasal radyo erişim ağı Exclusive-or Dışlayan-veya
Exclusive-or;Dışlayan-veya
Exculpatory evidence;Temize çıkarıcı kanıt
Execute in place;Yerinde çalıştır
Executive agency;Yürütücü ajans
Executive order;Yürütme emri
Exercise;Alıştırma
Exercise briefing;Alıştırma bilgilendirmesi
Exercise director;Alıştırma yöneticisi
Exercise key;Alıştırma anahtarı
Exfiltration;Sızma
Expanded data encryption standard;Genişletilmiş veri şifreleme standardı
Expected output;Beklenen çıktı
Expected result;Beklenen sonuç
Expected value;Beklenen değer
Exploit;Sömürü
Exploit code;Sömürü kodu
Exploit kit;Sömürü aracı
Exploit kits as a service;Hizmet olarak sömürü araçları
Exploitable channel;Sömürülebilir kanal
Exploitation analysis;Sömürü çözümleme
Exponential backoff algorithm;Üstel geri çekme algoritması
Exposure;Etkilenme
Extendable output function;Genişletilebilir çıkış işlevi
Extended authentication;Genişletilmiş kimlik doğrulama
Extended automation engineering;Genişletilmiş otomasyon mühendisliği
Extended detection and response;Genişletilmiş saptama ve yanıt
Extended key usage;Genişletilmiş anahtar kullanımı
Extended master session key;Genişletilmiş ana oturum anahtarı
Extended packet number;Genişletilmiş paket numarası
Extended sequence number;Genişletilmiş sıra numarası
Extended service set;Genişletilmiş hizmet seti
Extended simple mail transfer protocol ;Genişletilmiş basit posta aktarım protokolü
Extended validation;Genişletilmiş geçerleme
Extended validation certificate;Genişletilmiş geçerleme sertifikası
Extensible authentication protocol;Genişletilebilir kimlik doğrulama kuralı
Extensible configuration checklist description format ;checklist description format Genişletilebilir yapılandırma kontrol listesi açıklama biçimi
Extensible firmware interface;Genişletilebilir çerçeve arayüzü
Extensible hypertext markup language;Genişletilebilir bağlantılı metin biçimlendirme dili
Extensible markup language;Genişletilebilir biçimlendirme dili
Extensible stylesheet language transformation;Genişletilebilir biçem sayfası dil dönüşümü
Extension;Uzantı
Extension identifier;Uzantı tanımlayıcısı
Exterior border gateway protocol;Dış sınır geçit kuralı
Exterior gateway protocol;Dış geçit kuralı External (information systems) service provider Dış (bilgi sistemleri) servis sağlayıcı
External assessment engagement;Dış değerlendirme sözleşmesi
External bgp (border gateway protocol);Dış sınır ağgeçidi kuralı
External certification authority;Dış belgelendirme yetkilisi
External data representation;Dış veri gösterimi
External information system (or component) ;Dış bilgi sistemi (veya bileşen)
External information system service;Dış bilgi sistemi hizmeti
External information system service provider ;Dış bilgi sistemi servis sağlayıcısı
External key;Dış anahtar
External network;Dış ağ
External operational management role;Dış işletimsel yönetim görevi
External security testing;Dış güvenlik sınaması
Extraction then expansion;Çıkarma ve genişletme
Extranet;Dış ağ
Extreme fast charging;Aşırı hızlı durdurma ( F )
Face capture;Yüz yakalama
Face recognition;Yüz tanıma
Facial payment;Yüz tanıma ile ödeme
Facial recognition data;Yüz tanıma verisi
Facilitated self assessment;Kolaylaştırılmış öz değerlendirme
Facilitator;Kolaylaştırıcı
Facilitator guide;Kolaylaştırıcı kılavuzu
Facility;Tesis
Fact reference;Gerçek başvurusu
Fail safe;Aksaklığa karşı korumalı
Fail secure;Aksaklığa karşı güvenli
Fail soft;Kademeli aksama
Fail to known state;Bilinen durum aksaklığı
Failover;Yük devretme
Failure;Arıza başarısızlık
Failure access;Erişim hatası
Failure control;Arıza kontrolü
Failure modes effects and criticality analysis;Arıza modları etkileri ve kritiklik analizi
Failure to enroll rate;Kayıt başarısızlık oranı
Fair information practice principles;Adil bilgi uygulama ilkeleri
Fake account;Sahte hesap
Fake antivirus malware;Sahte virüs koruma kötücül yazılımı
Fake content detection;Sahte içerik algılama
Fake identity;Sahte kimlik
False accept rate;Yanlış kabul oranı
False acceptance;Yanlış kabul
False match rate;Yanlış eşleşme oranı
False negative;Eylemsiz yanlış
False non match rate;Yanlış eşleşmeme oranı
False positive;Eylemli yanlış
False reject;Yanlış ret
False reject rate;Yanlış red oranı
False rejection;Yanlış reddetme
Family and educational records privacy act ;Aile ve eğitim kayıtları gizlilik yasası
Fast basic service set transition;Hızlı temel hizmet kümesi geçişi
Fast file system;Hızlı dosya sistemi
Fast flux;Hızlı akış
Fast user switching;Hızlı kullanıcı değiştirme
Fatal error;Onulmaz hata
Fault injection testing;Yerleştirilen hataların sınaması
Fault line attacks;Arızalı hat saldırısı
Fault tolerance;Bozulmaya dayanıklılık
Fault tolerant;Bozulmaya dayanıklı
Fault tree analysis;Hata ağacı analizi
Faulty operation;Hatalı işlem
Fear of missing out;Sanal ortamdaki gelişmeleri kaçırma korkusu
Feature extraction function;Özellik çıkarma işlevi
Feature phone;Özellikli telefon
Feature set;Özellik kümesi
Features;Özellikler
Federated identity management;Birleşik kimlik yönetimi
 Federated identity credential and access management;Birleşik kimlik kimlik bilgileri ve erişim yönetimi
Federated trust;Birleşik güven
Feed the troll;Siber kışkırtıcıyı isteklendirme
Fibre channel;Fiber kanal
Fibre channel over ethernet;Ethernet üzerinden fiber kanal
Fibre channel over IP;İnternet protokolü üzerinden üzerinden fiber kanal
Field device;Alan aygıtı
Field device hack;Alan aygıtını ele geçirme
Field programmable gate array;Alan programlanabilir kapı dizisi
Field representation indicator;Alan temsili göstergesi
Field site;Alan sitesi
